Timestep	AtRandomAverageReturn	AverageReturn	OptimalAverageReturn	MaxReturn	Episodes	Exploration	LearningRate
10000	0.866844877094	1.13188228943	1.50999224726	1.15256000034	1104	0.991	0.0001
20000	0.870068079749	1.09988227497	1.52486050521	1.15256000034	1408	0.982	0.0001
30000	0.866330174057	1.04899710279	1.51196737095	1.15256000034	1931	0.973	0.0001
40000	0.894274944024	1.0678574529	1.52628855218	1.15256000034	2568	0.964	0.0001
50000	0.865764822966	1.0282016198	1.4977965899	1.15256000034	3358	0.955	0.0001
60000	0.860407493609	1.05376127713	1.51613486083	1.15256000034	4348	0.946	0.0001
70000	0.884217310206	1.07301385523	1.5088142486	1.15256000034	5343	0.9369999999999999	0.0001
80000	0.861260331726	1.05751301353	1.49857294438	1.15256000034	6436	0.9279999999999999	0.0001
90000	0.868909804185	1.08580259774	1.52073112191	1.15256000034	7568	0.919	0.0001
100000	0.896431132815	1.09960182754	1.53643348238	1.15256000034	8840	0.91	0.0001
110000	0.873936404251	1.07839390946	1.50131929895	1.15256000034	10161	0.901	0.0001
120000	0.86153806226	1.11283088658	1.52268632506	1.15256000034	11543	0.892	0.0001
130000	0.886453035166	1.11751810935	1.53053635111	1.15256000034	12990	0.883	0.0001
140000	0.834202971601	1.1020600322	1.49711154758	1.15256000034	14526	0.874	0.0001
150000	0.880586309349	1.16703908717	1.56123405738	1.17141918938	16120	0.865	0.0001
160000	0.877134309991	1.12212357399	1.51623656415	1.17748898988	17783	0.856	0.0001
170000	0.8516225861	1.1074250254	1.51138503469	1.17748898988	19508	0.847	0.0001
180000	0.907781375456	1.15055260389	1.51334077238	1.17748898988	21251	0.838	0.0001
190000	0.86649416311	1.16582076037	1.53873123621	1.18524331836	22991	0.829	0.0001
200000	0.859780587721	1.13828070727	1.50826659623	1.18524331836	24877	0.82	0.0001
210000	0.877742934638	1.14271627713	1.5128458774	1.18524331836	26861	0.8109999999999999	0.0001
220000	0.852406731337	1.12849754418	1.49688708368	1.18524331836	28857	0.802	0.0001
230000	0.856551610223	1.12382971054	1.52102082458	1.18524331836	30936	0.7929999999999999	0.0001
240000	0.852139316413	1.13787941244	1.49361887888	1.18524331836	32995	0.784	0.0001
250000	0.855810522001	1.16291707658	1.51293800468	1.18524331836	35044	0.775	0.0001
260000	0.874556167373	1.17881230162	1.52150392536	1.18602312618	37133	0.766	0.0001
270000	0.861770049655	1.16159592247	1.50092000247	1.20620722517	39322	0.757	0.0001
280000	0.826462094317	1.16500809655	1.4996934162	1.20620722517	41563	0.748	0.0001
290000	0.834604191391	1.15893528411	1.50149356443	1.20620722517	43834	0.739	0.0001
300000	0.857210785269	1.1765863495	1.52782999989	1.20620722517	46134	0.73	0.0001
310000	0.843570935874	1.17458178843	1.50938552107	1.20620722517	48517	0.721	0.0001
320000	0.894949502355	1.18045763912	1.51118324577	1.20771364483	50918	0.712	0.0001
330000	0.906086312601	1.20622467615	1.54227641317	1.21445558166	53316	0.703	0.0001
340000	0.819009293923	1.17572475635	1.48427130983	1.21715964606	55759	0.694	0.0001
350000	0.884156446898	1.20927570364	1.52068868911	1.21715964606	58183	0.685	0.0001
360000	0.836526040125	1.18198654259	1.49405198031	1.22335156665	60664	0.6759999999999999	0.0001
370000	0.848413524252	1.22441704663	1.52337000672	1.23232917741	63158	0.667	0.0001
380000	0.847222695308	1.17993853961	1.47391432829	1.23232917741	65734	0.6579999999999999	0.0001
390000	0.870434772596	1.20928472696	1.49062334268	1.23232917741	68316	0.649	0.0001
400000	0.888327314994	1.21473433266	1.51273569109	1.23663423165	70986	0.6399999999999999	0.0001
410000	0.859727035196	1.24691676512	1.51009912923	1.2583145035	73631	0.631	0.0001
420000	0.862088966359	1.22562365256	1.51266629135	1.2583145035	76308	0.622	0.0001
430000	0.874419873589	1.26349068864	1.53663782285	1.26899151472	78915	0.613	0.0001
440000	0.845666154333	1.23414115688	1.51029382469	1.28182954166	81583	0.604	0.0001
450000	0.866137801904	1.25329672849	1.50681004513	1.28182954166	84328	0.595	0.0001
460000	0.89152956637	1.25734824373	1.53007249842	1.28405193241	87141	0.586	0.0001
470000	0.843471063957	1.25931881166	1.51698343826	1.28405193241	89876	0.577	0.0001
480000	0.839363368598	1.25429782172	1.51233605869	1.28467854569	92605	0.5680000000000001	0.0001
