Timestep	AtRandomAverageReturn	AverageReturn	OptimalAverageReturn	AverageAccuracy	MaxReturn	Episodes	Exploration	LearningRate
10000	0.887563888756	1.13741090745	1.51283523839	0.6386	1.13741090745	1076	0.991	0.0001
20000	0.89066066136	1.13334754242	1.52908211762	0.6266	1.14983701722	1405	0.982	0.0001
30000	0.875304409435	1.08084391656	1.52564194337	0.6046	1.14983701722	1881	0.973	0.0001
40000	0.848841468789	1.05710154565	1.52190253895	0.5964	1.14983701722	2593	0.964	0.0001
50000	0.85161555703	1.04735844321	1.50956103625	0.5856	1.14983701722	3419	0.955	0.0001
60000	0.854972740235	1.04309459236	1.49306043298	0.595	1.14983701722	4268	0.946	0.0001
70000	0.895964828733	1.06824462498	1.52212469513	0.6026	1.14983701722	5266	0.9369999999999999	0.0001
80000	0.864153074838	1.08611686271	1.51339688085	0.614	1.14983701722	6308	0.9279999999999999	0.0001
90000	0.864726709514	1.08215440283	1.52145270565	0.6056	1.14983701722	7468	0.919	0.0001
100000	0.856004760241	1.08502177017	1.50782713397	0.618	1.14983701722	8712	0.91	0.0001
110000	0.880241762784	1.1017696068	1.52340566336	0.6212	1.14983701722	10118	0.901	0.0001
120000	0.857754500448	1.09406293404	1.53072500277	0.6046	1.14983701722	11491	0.892	0.0001
130000	0.856162615343	1.09481423146	1.50512836814	0.61	1.15611675031	13004	0.883	0.0001
140000	0.871546449807	1.08377564414	1.51288678785	0.617	1.15611675031	14521	0.874	0.0001
150000	0.857292976021	1.13254462471	1.52916472304	0.6352	1.15611675031	16173	0.865	0.0001
160000	0.851103094925	1.10676909759	1.49115343167	0.6258	1.15611675031	17830	0.856	0.0001
170000	0.844707875921	1.13674713451	1.52023100269	0.6342	1.15611675031	19470	0.847	0.0001
180000	0.850722487694	1.11914448402	1.51809668688	0.6292	1.15611675031	21262	0.838	0.0001
190000	0.85497009164	1.13262578014	1.52150131284	0.6356	1.15611675031	23117	0.829	0.0001
200000	0.870801205797	1.15237785889	1.50217489666	0.6476	1.15878493129	25048	0.82	0.0001
210000	0.847825171832	1.12518354744	1.50237186254	0.6432	1.17327957988	26980	0.8109999999999999	0.0001
220000	0.884379573348	1.13842672889	1.49797213937	0.649	1.17327957988	29010	0.802	0.0001
230000	0.827005855679	1.14103139415	1.50269968344	0.6626	1.17327957988	31043	0.7929999999999999	0.0001
240000	0.87397633235	1.16733781383	1.52219391689	0.6524	1.19019984369	33088	0.784	0.0001
250000	0.838370661455	1.1608831004	1.50522594	0.6582	1.19019984369	35191	0.775	0.0001
260000	0.903599572519	1.17322606567	1.51876300053	0.659	1.19019984369	37330	0.766	0.0001
270000	0.853394109406	1.16876996284	1.50672655637	0.6568	1.20091496023	39532	0.757	0.0001
280000	0.859183084844	1.12305262528	1.48131278783	0.6492	1.20091496023	41786	0.748	0.0001
290000	0.839264755049	1.16264380593	1.50765257524	0.6692	1.21004791316	44022	0.739	0.0001
300000	0.839637764027	1.14555930252	1.49545133048	0.6652	1.21004791316	46298	0.73	0.0001
310000	0.877385805258	1.20007935535	1.53120914406	0.6782	1.21004791316	48587	0.721	0.0001
320000	0.877977847351	1.18478880846	1.50281477291	0.6804	1.21004791316	50978	0.712	0.0001
330000	0.885797100685	1.20856919574	1.52955955177	0.6948	1.23643372434	53358	0.703	0.0001
340000	0.827746000177	1.15258861207	1.47386792987	0.6804	1.23643372434	55881	0.694	0.0001
350000	0.88202944831	1.1934590512	1.51324017676	0.6856	1.23643372434	58384	0.685	0.0001
360000	0.856082072617	1.18756981077	1.50249175511	0.6914	1.23643372434	60871	0.6759999999999999	0.0001
370000	0.834112800637	1.172591589	1.48641254926	0.6866	1.23995750765	63345	0.667	0.0001
380000	0.848243849495	1.22553151327	1.52115050456	0.703	1.24256587948	65858	0.6579999999999999	0.0001
390000	0.839608029473	1.17200728713	1.47356969983	0.6894	1.24256587948	68470	0.649	0.0001
